"chromosome","start","end","tissue","tissue_type","query"
"chr10",72451397,75240052,"PC3_PROSTATE_AA_amplicon5_amplicon5","PROSTATE","10:72451397:75240052"
"chr10",76202621,76881777,"PC3_PROSTATE_AA_amplicon5_amplicon5","PROSTATE","10:76202621:76881777"
"chr14",68715749,68848372,"PC3_PROSTATE_AA_amplicon7_amplicon7","PROSTATE","14:68715749:68848372"
"chr1",194158346,194308869,"QGP1_PANCREAS_AA_amplicon12_amplicon12","PANCREAS","1:194158346:194308869"
"chr12",61445470,62490950,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:61445470:62490950"
"chr12",65638707,65697329,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:65638707:65697329"
"chr12",66529876,68006549,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:66529876:68006549"
"chr12",68036339,72189158,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:68036339:72189158"
"chr12",72190572,72356625,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:72190572:72356625"
"chr12",72358135,73172800,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:72358135:73172800"
"chr12",63687064,63852445,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:63687064:63852445"
"chr12",64898023,66527650,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:64898023:66527650"
"chr12",66529876,66994165,"QGP1_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","12:66529876:66994165"
"chr12",24385890,24461087,"QGP1_PANCREAS_AA_amplicon4_amplicon4","PANCREAS","12:24385890:24461087"
"chr20",36574349,40634124,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","20:36574349:40634124"
"chr20",40957461,42024611,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","20:40957461:42024611"
"chr20",42025792,42481294,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","20:42025792:42481294"
"chr20",42483771,43312214,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","20:42483771:43312214"
"chr10",61426183,61766346,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","10:61426183:61766346"
"chr10",62195921,65538802,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","10:62195921:65538802"
"chr10",113734112,113762748,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","10:113734112:113762748"
"chr10",117529971,117828773,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","10:117529971:117828773"
"chr10",130539893,130683796,"RERFGC1B_STOMACH_AA_amplicon10_amplicon10","STOMACH","10:130539893:130683796"
"chr19",48413591,48461622,"RERFGC1B_STOMACH_AA_amplicon9_amplicon9","STOMACH","19:48413591:48461622"
"chr5",13899138,14011628,"RKN_SOFT_TISSUE_AA_amplicon11_amplicon11","SOFT","5:13899138:14011628"
"chr12",32146843,32293597,"RKN_SOFT_TISSUE_AA_amplicon2_amplicon2","SOFT","12:32146843:32293597"
"chr2",113903536,114047455,"RMGI_OVARY_AA_amplicon11_amplicon11","OVARY","2:113903536:114047455"
"chr2",114153611,114170532,"RMGI_OVARY_AA_amplicon11_amplicon11","OVARY","2:114153611:114170532"
"chr3",168600567,168800361,"RMGI_OVARY_AA_amplicon11_amplicon11","OVARY","3:168600567:168800361"
"chr4",159203275,159438521,"RMGI_OVARY_AA_amplicon4_amplicon4","OVARY","4:159203275:159438521"
"chr4",159520041,159530164,"RMGI_OVARY_AA_amplicon4_amplicon4","OVARY","4:159520041:159530164"
"chr4",159530197,159586299,"RMGI_OVARY_AA_amplicon4_amplicon4","OVARY","4:159530197:159586299"
"chr19",45242914,45249670,"RMGI_OVARY_AA_amplicon4_amplicon4","OVARY","19:45242914:45249670"
"chr17",45705905,45725156,"RMGI_OVARY_AA_amplicon8_amplicon8","OVARY","17:45705905:45725156"
"chr2",238758612,238770794,"RMGI_OVARY_AA_amplicon8_amplicon8","OVARY","2:238758612:238770794"
"chr5",683855,847176,"RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon8_amplicon8","HAEMATOPOIETIC","5:683855:847176"
"chr4",1739918,1808687,"RT112_URINARY_TRACT_AA_amplicon1_amplicon1","URINARY","4:1739918:1808687"
"chr20",25836745,25848704,"RT112_URINARY_TRACT_AA_amplicon6_amplicon6","URINARY","20:25836745:25848704"
"chr7",57710937,57711074,"RT112_URINARY_TRACT_AA_amplicon6_amplicon6","URINARY","7:57710937:57711074"
"chr3",69680075,69680251,"RVH421_SKIN_AA_amplicon4_amplicon4","SKIN","3:69680075:69680251"
"chr3",69847704,70047418,"RVH421_SKIN_AA_amplicon4_amplicon4","SKIN","3:69847704:70047418"
"chr11",100403584,100506812,"RVH421_SKIN_AA_amplicon8_amplicon8","SKIN","11:100403584:100506812"
"chr1",92938107,94831983,"SCABER_URINARY_TRACT_AA_amplicon6_amplicon6","URINARY","1:92938107:94831983"
"chr1",104136904,104303431,"SCC25_UPPER_AERODIGESTIVE_TRACT_AA_amplicon1_amplicon1","UPPER","1:104136904:104303431"
"chr14",28915618,29020703,"SCC25_UPPER_AERODIGESTIVE_TRACT_AA_amplicon11_amplicon11","UPPER","14:28915618:29020703"
"chr11",68705756,69089752,"SCC25_UPPER_AERODIGESTIVE_TRACT_AA_amplicon14_amplicon14","UPPER","11:68705756:69089752"
"chr11",69139792,69633699,"SCC25_UPPER_AERODIGESTIVE_TRACT_AA_amplicon14_amplicon14","UPPER","11:69139792:69633699"
"chr11",69633746,73764900,"SCC25_UPPER_AERODIGESTIVE_TRACT_AA_amplicon14_amplicon14","UPPER","11:69633746:73764900"
"chr11",69390566,69460128,"SCC4_UPPER_AERODIGESTIVE_TRACT_AA_amplicon1_amplicon1","UPPER","11:69390566:69460128"
"chr5",682443,847182,"SCC4_UPPER_AERODIGESTIVE_TRACT_AA_amplicon15_amplicon15","UPPER","5:682443:847182"
"chr8",29597190,29603010,"SCLC21H_LUNG_AA_amplicon7_amplicon7","LUNG","8:29597190:29603010"
"chr12",11169656,11172617,"SH10TC_STOMACH_AA_amplicon11_amplicon11","STOMACH","12:11169656:11172617"
"chr12",11181559,11192446,"SH10TC_STOMACH_AA_amplicon11_amplicon11","STOMACH","12:11181559:11192446"
"chr12",11218061,11227730,"SH10TC_STOMACH_AA_amplicon11_amplicon11","STOMACH","12:11218061:11227730"
"chr12",11228317,11242173,"SH10TC_STOMACH_AA_amplicon11_amplicon11","STOMACH","12:11228317:11242173"
"chr12",11242215,11283206,"SH10TC_STOMACH_AA_amplicon11_amplicon11","STOMACH","12:11242215:11283206"
"chr12",11284133,11284367,"SH10TC_STOMACH_AA_amplicon11_amplicon11","STOMACH","12:11284133:11284367"
"chr6",336443,399000,"SH10TC_STOMACH_AA_amplicon5_amplicon5","STOMACH","6:336443:399000"
"chr12",21196016,21196203,"SH10TC_STOMACH_AA_amplicon8_amplicon8","STOMACH","12:21196016:21196203"
"chr12",23071444,23939521,"SH10TC_STOMACH_AA_amplicon8_amplicon8","STOMACH","12:23071444:23939521"
"chr12",23940086,27730364,"SH10TC_STOMACH_AA_amplicon8_amplicon8","STOMACH","12:23940086:27730364"
"chr12",29354029,29354490,"SH10TC_STOMACH_AA_amplicon8_amplicon8","STOMACH","12:29354029:29354490"
"chr12",29760406,29844383,"SH10TC_STOMACH_AA_amplicon8_amplicon8","STOMACH","12:29760406:29844383"
"chr12",29846434,30959865,"SH10TC_STOMACH_AA_amplicon8_amplicon8","STOMACH","12:29846434:30959865"
"chr17",31726305,31726802,"SH10TC_STOMACH_AA_amplicon8_amplicon8","STOMACH","17:31726305:31726802"
"chr20",17160610,17614376,"SHP77_LUNG_AA_amplicon15_amplicon15","LUNG","20:17160610:17614376"
"chr9",78364740,78919508,"SKCO1_LARGE_INTESTINE_AA_amplicon14_amplicon14","LARGE","9:78364740:78919508"
"chr9",78922027,79812637,"SKCO1_LARGE_INTESTINE_AA_amplicon14_amplicon14","LARGE","9:78922027:79812637"
"chr8",128439376,128601118,"SKCO1_LARGE_INTESTINE_AA_amplicon6_amplicon6","LARGE","8:128439376:128601118"
"chr7",100966741,101136079,"SKLU1_LUNG_AA_amplicon14_amplicon14","LUNG","7:100966741:101136079"
"chr20",29843264,30122444,"SKLU1_LUNG_AA_amplicon2_amplicon2","LUNG","20:29843264:30122444"
"chr20",30123264,30324123,"SKLU1_LUNG_AA_amplicon2_amplicon2","LUNG","20:30123264:30324123"
"chr20",32387584,32815937,"SKLU1_LUNG_AA_amplicon2_amplicon2","LUNG","20:32387584:32815937"
"chr20",32819225,32925272,"SKLU1_LUNG_AA_amplicon2_amplicon2","LUNG","20:32819225:32925272"
"chr2",87623902,87655873,"SKMEL5_SKIN_AA_amplicon5_amplicon5","SKIN","2:87623902:87655873"
"chr22",17046753,17046869,"SKMEL5_SKIN_AA_amplicon5_amplicon5","SKIN","22:17046753:17046869"
"chr22",17047776,17048842,"SKMEL5_SKIN_AA_amplicon5_amplicon5","SKIN","22:17047776:17048842"
"chr5",754135,847117,"SKMEL5_SKIN_AA_amplicon8_amplicon8","SKIN","5:754135:847117"
"chrX",71772964,71849009,"SKMES1_LUNG_AA_amplicon15_amplicon15","LUNG","X:71772964:71849009"
"chrX",72806709,72841978,"SKMES1_LUNG_AA_amplicon15_amplicon15","LUNG","X:72806709:72841978"
"chrX",13618100,13973481,"SKOV3_OVARY_AA_amplicon3_amplicon3","OVARY","X:13618100:13973481"
"chr19",19248794,19387636,"SKOV3_OVARY_AA_amplicon3_amplicon3","OVARY","19:19248794:19387636"
"chr8",128276972,128318939,"SKOV3_OVARY_AA_amplicon3_amplicon3","OVARY","8:128276972:128318939"
"chr5",135657737,135802156,"SKOV3_OVARY_AA_amplicon5_amplicon5","OVARY","5:135657737:135802156"
"chr3",168601004,168806388,"SKOV3_OVARY_AA_amplicon6_amplicon6","OVARY","3:168601004:168806388"
"chr17",37673017,37885990,"SKOV3_OVARY_AA_amplicon6_amplicon6","OVARY","17:37673017:37885990"
"chr14",73661311,73690918,"SKOV3_OVARY_AA_amplicon6_amplicon6","OVARY","14:73661311:73690918"
"chr4",96290355,96473354,"SNU1_STOMACH_AA_amplicon2_amplicon2","STOMACH","4:96290355:96473354"
"chr8",98104667,98407656,"SNU119_OVARY_AA_amplicon22_amplicon22","OVARY","8:98104667:98407656"
"chr14",50147467,50210849,"SNU119_OVARY_AA_amplicon9_amplicon9","OVARY","14:50147467:50210849"
"chr6",134886536,134886676,"SNU119_OVARY_AA_amplicon9_amplicon9","OVARY","6:134886536:134886676"
"chr8",125756898,125757185,"SNU16_STOMACH_AA_amplicon11_amplicon11","STOMACH","8:125756898:125757185"
"chr8",125758227,125758470,"SNU16_STOMACH_AA_amplicon11_amplicon11","STOMACH","8:125758227:125758470"
"chr8",125808892,125816227,"SNU16_STOMACH_AA_amplicon11_amplicon11","STOMACH","8:125808892:125816227"
"chr11",19069480,19069699,"SNU16_STOMACH_AA_amplicon11_amplicon11","STOMACH","11:19069480:19069699"
"chr17",11337270,12353145,"SNU182_LIVER_AA_amplicon15_amplicon15","LIVER","17:11337270:12353145"
"chr17",12359254,14189910,"SNU182_LIVER_AA_amplicon15_amplicon15","LIVER","17:12359254:14189910"
"chr17",14191555,17230380,"SNU182_LIVER_AA_amplicon15_amplicon15","LIVER","17:14191555:17230380"
"chr17",17231233,18791155,"SNU182_LIVER_AA_amplicon15_amplicon15","LIVER","17:17231233:18791155"
"chr17",18792163,19269026,"SNU182_LIVER_AA_amplicon15_amplicon15","LIVER","17:18792163:19269026"
"chr5",691883,834844,"SNU182_LIVER_AA_amplicon23_amplicon23","LIVER","5:691883:834844"
"chr11",65990941,66711528,"SNU387_LIVER_AA_amplicon2_amplicon2","LIVER","11:65990941:66711528"
"chr11",66713419,68411537,"SNU387_LIVER_AA_amplicon2_amplicon2","LIVER","11:66713419:68411537"
"chr11",68411830,68697762,"SNU387_LIVER_AA_amplicon2_amplicon2","LIVER","11:68411830:68697762"
"chr11",69039995,69040201,"SNU387_LIVER_AA_amplicon2_amplicon2","LIVER","11:69039995:69040201"
"chr11",69159494,69347055,"SNU387_LIVER_AA_amplicon2_amplicon2","LIVER","11:69159494:69347055"
"chr11",71876385,75468979,"SNU387_LIVER_AA_amplicon2_amplicon2","LIVER","11:71876385:75468979"
"chr1",144676161,144896299,"SNU387_LIVER_AA_amplicon5_amplicon5","LIVER","1:144676161:144896299"
"chr1",144906809,144951496,"SNU387_LIVER_AA_amplicon5_amplicon5","LIVER","1:144906809:144951496"
"chr1",155070864,155209729,"SNU407_LARGE_INTESTINE_AA_amplicon2_amplicon2","LARGE","1:155070864:155209729"
"chr17",18934909,19324804,"SNU449_LIVER_AA_amplicon6_amplicon6","LIVER","17:18934909:19324804"
"chr11",69905220,70232726,"SNU475_LIVER_AA_amplicon12_amplicon12","LIVER","11:69905220:70232726"
"chr8",32617093,32680008,"SUIT2_PANCREAS_AA_amplicon5_amplicon5","PANCREAS","8:32617093:32680008"
"chr8",32691260,34841644,"SUIT2_PANCREAS_AA_amplicon5_amplicon5","PANCREAS","8:32691260:34841644"
"chr19",43253481,43367112,"SW480_LARGE_INTESTINE_AA_amplicon10_amplicon10","LARGE","19:43253481:43367112"
"chr8",126510976,126595128,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:126510976:126595128"
"chr8",126601131,126876108,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:126601131:126876108"
"chr8",126965735,127054484,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:126965735:127054484"
"chr8",127060552,127185960,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:127060552:127185960"
"chr8",127242727,127261743,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:127242727:127261743"
"chr8",127287363,127475448,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:127287363:127475448"
"chr8",127598999,127599222,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:127598999:127599222"
"chr8",127907296,127967496,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:127907296:127967496"
"chr8",127967709,128405696,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:127967709:128405696"
"chr8",128406753,128412953,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:128406753:128412953"
"chr8",128605896,128749947,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:128605896:128749947"
"chr8",128751639,129289954,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:128751639:129289954"
"chr8",129293117,129507220,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:129293117:129507220"
"chr8",129541089,129617267,"SW480_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:129541089:129617267"
"chr4",59428997,59435796,"SW579_THYROID_AA_amplicon2_amplicon2","THYROID","4:59428997:59435796"
"chr5",682142,838837,"SW900_LUNG_AA_amplicon2_amplicon2","LUNG","5:682142:838837"
"chr12",31000802,32998973,"SW900_LUNG_AA_amplicon6_amplicon6","LUNG","12:31000802:32998973"
"chr5",683845,847128,"T47D_BREAST_AA_amplicon2_amplicon2","BREAST","5:683845:847128"
"chr13",97410364,97676387,"TE1_OESOPHAGUS_AA_amplicon27_amplicon27","OESOPHAGUS","13:97410364:97676387"
"chr22",21098301,21309409,"TE1_OESOPHAGUS_AA_amplicon5_amplicon5","OESOPHAGUS","22:21098301:21309409"
"chr8",103520965,103597998,"TE5_OESOPHAGUS_AA_amplicon14_amplicon14","OESOPHAGUS","8:103520965:103597998"
"chr8",107736244,107745792,"TE5_OESOPHAGUS_AA_amplicon14_amplicon14","OESOPHAGUS","8:107736244:107745792"
"chr7",35038578,35106478,"TE5_OESOPHAGUS_AA_amplicon27_amplicon27","OESOPHAGUS","7:35038578:35106478"
"chr1",39956733,41234999,"THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon5_amplicon5","HAEMATOPOIETIC","1:39956733:41234999"
"chr2",242519114,242519394,"THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon5_amplicon5","HAEMATOPOIETIC","2:242519114:242519394"
"chr1",144680261,144894150,"U251MG_CENTRAL_NERVOUS_SYSTEM_AA_amplicon15_amplicon15","CENTRAL","1:144680261:144894150"
"chr1",144895204,144955444,"U251MG_CENTRAL_NERVOUS_SYSTEM_AA_amplicon15_amplicon15","CENTRAL","1:144895204:144955444"
"chr3",195342031,195447978,"U251MG_CENTRAL_NERVOUS_SYSTEM_AA_amplicon6_amplicon6","CENTRAL","3:195342031:195447978"
"chr1",151645177,151763328,"UACC812_BREAST_AA_amplicon14_amplicon14","BREAST","1:151645177:151763328"
"chr1",196842794,197500519,"UACC812_BREAST_AA_amplicon14_amplicon14","BREAST","1:196842794:197500519"
"chr1",197503271,198773748,"UACC812_BREAST_AA_amplicon14_amplicon14","BREAST","1:197503271:198773748"
"chr1",198775414,202173904,"UACC812_BREAST_AA_amplicon14_amplicon14","BREAST","1:198775414:202173904"
"chr1",202174509,202348600,"UACC812_BREAST_AA_amplicon14_amplicon14","BREAST","1:202174509:202348600"
"chr7",16778684,17284775,"UACC893_BREAST_AA_amplicon12_amplicon12","BREAST","7:16778684:17284775"
"chr17",37485460,38488119,"UACC893_BREAST_AA_amplicon25_amplicon25","BREAST","17:37485460:38488119"
"chr17",64003442,64009083,"UACC893_BREAST_AA_amplicon25_amplicon25","BREAST","17:64003442:64009083"
"chr17",73473625,73664182,"UACC893_BREAST_AA_amplicon25_amplicon25","BREAST","17:73473625:73664182"
"chr17",75342502,75352743,"UACC893_BREAST_AA_amplicon25_amplicon25","BREAST","17:75342502:75352743"
"chr11",99324308,99718536,"UACC893_BREAST_AA_amplicon25_amplicon25","BREAST","11:99324308:99718536"
"chr11",58567597,58575670,"VMCUB1_URINARY_TRACT_AA_amplicon5_amplicon5","URINARY","11:58567597:58575670"
"chr11",62009129,62383481,"VMCUB1_URINARY_TRACT_AA_amplicon5_amplicon5","URINARY","11:62009129:62383481"
"chr11",62542971,63195054,"VMCUB1_URINARY_TRACT_AA_amplicon5_amplicon5","URINARY","11:62542971:63195054"
"chr11",63828801,63828807,"VMCUB1_URINARY_TRACT_AA_amplicon5_amplicon5","URINARY","11:63828801:63828807"
"chr11",70146494,70387511,"VMCUB1_URINARY_TRACT_AA_amplicon5_amplicon5","URINARY","11:70146494:70387511"
"chr16",33331672,33373916,"ZR751_BREAST_AA_amplicon14_amplicon14","BREAST","16:33331672:33373916"
"chr16",33379404,33428529,"ZR751_BREAST_AA_amplicon14_amplicon14","BREAST","16:33379404:33428529"
"chr16",33577030,33857334,"ZR751_BREAST_AA_amplicon14_amplicon14","BREAST","16:33577030:33857334"
"chr6",296058,382460,"ZR751_BREAST_AA_amplicon14_amplicon14","BREAST","6:296058:382460"
"chr8",37508939,38406699,"ZR751_BREAST_AA_amplicon4_amplicon4","BREAST","8:37508939:38406699"
"chr8",40309514,40774627,"ZR751_BREAST_AA_amplicon4_amplicon4","BREAST","8:40309514:40774627"
"chr8",40779769,42190459,"ZR751_BREAST_AA_amplicon4_amplicon4","BREAST","8:40779769:42190459"
"chr8",42194397,42555479,"ZR751_BREAST_AA_amplicon4_amplicon4","BREAST","8:42194397:42555479"
